Epret,Eplen,LossPi,Epsilon,TestEpRet,TestEpLen,Epoch,Total_Steps
-294.6128317543204,424,17.821788787841797,0.25,-149.55698041798894,106,1,3999
-84.37035470732849,342,2.516939401626587,0.16666666666666666,-160.18232699878791,145,2,7999
-60.35467315113523,296,11.496299743652344,0.125,-65.03748462012048,179,3,11999
-151.4119010290244,289,2.512979030609131,0.1,-44.25568778550878,1000,4,15999
-145.2770044478999,137,2.403407573699951,0.08333333333333333,-286.3696747697473,92,5,19999
-71.57004924807836,172,20.522472381591797,0.07142857142857142,-181.1406026344647,82,6,23999
43.467681957525826,186,3.108332633972168,0.0625,-88.54046930155337,1000,7,27999
-145.77902175439368,1000,2.318009853363037,0.05555555555555555,78.50901528642595,168,8,31999
-136.23810479902315,501,20.794424057006836,0.05,-187.0234983030506,663,9,35999
4.678789327528556,1000,5.633203506469727,0.045454545454545456,-133.78802427647116,356,10,39999
-29.067785452045687,1000,6.200353622436523,0.041666666666666664,-95.0727632620647,1000,11,43999
-65.10795261982456,1000,3.1633353233337402,0.038461538461538464,-48.61338053318712,1000,12,47999
-25.599864325176014,1000,4.6290388107299805,0.03571428571428571,-177.0839945434571,830,13,51999
-2.826416841589519,1000,12.826733589172363,0.03333333333333333,-53.472548677008355,1000,14,55999
-65.35695819041314,1000,3.606095552444458,0.03125,-42.43819228394884,1000,15,59999
-241.1054006042721,849,2.336465835571289,0.029411764705882353,-25.39499849293118,102,16,63999
189.04563439678782,529,4.3895087242126465,0.027777777777777776,162.5698724750241,408,17,67999
269.36577633977663,549,289.4918518066406,0.02631578947368421,184.18508935739422,249,18,71999
218.10214337882041,459,3.275587797164917,0.025,-162.69466868934433,77,19,75999
248.66567181423446,574,1.6088571548461914,0.023809523809523808,-87.21473433447765,68,20,79999
237.52727057823103,347,5.051394462585449,0.022727272727272728,-16.634329520619204,349,21,83999
-75.60661972153085,676,9.757218360900879,0.021739130434782608,253.84070961657508,272,22,87999
267.2657561918452,552,2.7520525455474854,0.020833333333333332,225.07043335752198,420,23,91999
