Epret,Eplen,LossPi,TestEpRet,TestEpLen,Epoch,Total_Steps
17.0,17,22.68787384033203,54.0,54,1,3999
100.0,100,298.4525451660156,118.0,118,2,7999
191.0,191,11.255931854248047,113.0,113,3,11999
16.0,16,11.740840911865234,500.0,500,4,15999
149.0,149,4.495943069458008,132.0,132,5,19999
500.0,500,5.537245750427246,258.0,258,6,23999
337.0,337,1.3268630504608154,500.0,500,7,27999
281.0,281,0.8422085046768188,135.0,135,8,31999
500.0,500,2.7111494541168213,149.0,149,9,35999
311.0,311,48.171749114990234,500.0,500,10,39999
500.0,500,13.712677001953125,170.0,170,11,43999
142.0,142,0.7797226309776306,500.0,500,12,47999
500.0,500,1.9549219608306885,110.0,110,13,51999
449.0,449,1.5505280494689941,243.0,243,14,55999
469.0,469,1.453317403793335,500.0,500,15,59999
446.0,446,0.9669971466064453,500.0,500,16,63999
500.0,500,0.4005611836910248,223.0,223,17,67999
144.0,144,1.877342700958252,500.0,500,18,71999
500.0,500,0.792536199092865,500.0,500,19,75999
